"Feed_ID","Vehicle_ID","FullRegistration","Colour","FuelType","Year","Mileage","Bodytype","Doors","Make","Model","Variant","EngineSize","Price","PreviousPrice","Transmission","PictureRefs","ServiceHistory","PreviousOwners","Description","FourWheelDrive","Options","Comments","New","Used","Site","Origin","V5","Condition","ExDemo","FranchiseApproved","TradePrice","TradePriceExtra","ServiceHistoryText","Cap_ID"
"AETA27382","AETV10630454","BN05FEP","Aquarius blue","Petrol","2005","84000","Hatchback","3","FORD","FIESTA","1.4 Flame","1388","3495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV10630454_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10630454_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10630454_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10630454_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10630454_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10630454_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10630454_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10630454_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10630454_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10630454_10b.jpg","0","3","","0","Insurance Group 4, Alarm, Alloy Wheels, Body Coloured Bumpers, Central Locking, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Heated Door Mirrors, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Remote Central Locking, Steering Wheel Rake Adjustment, Trip Computer","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV10839803","W40LOW","GREEN","DIESEL","2006","38000","Estate","5","JEEP","CHEROKEE","CRD A Auto","2776","7750","","Auto","http://images.autoexposure.co.uk/AETA27382/AETV10839803_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10839803_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10839803_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10839803_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10839803_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10839803_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10839803_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10839803_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10839803_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10839803_10b.jpg","0","","","0","Full Leather Interior, Alloy Wheels, Cruise Control, Alarm, Remote Central Locking, Electric Windows, Electric Sunroof, Electric Mirrors, ABS, Power Steering, Drivers Airbag, Passenger Airbag, Mudflaps, Roof Rails,","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV11526110","A10TMC","SILVER","PETROL","1987","66400","Sports","","JAGUAR","XJS","3.6","3590","7995","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV11526110_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_10b.jpg","0","3","","0","Central Locking, Front Electric Windows, Power Steering, Full Leather Interior, Alloy Wheels, CD Changer in Boot. RARE MANUAL CAR!! MUST BE VIEWED TO BE APPRECIATED!!!","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV12354453","MW56XNR","Bright silver","Petrol","2007","35300","Estate","5","CHRYSLER","PT CRUISER","2.4 Touring Auto","2429","3250","","Auto","http://images.autoexposure.co.uk/AETA27382/AETV12354453_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12354453_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12354453_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12354453_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12354453_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12354453_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12354453_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12354453_8b.jpg","0","","","0","Insurance Group 13, ABS, Air Conditioning, Alarm, Alloy Wheels, Body Coloured Bumpers, Cruise Control, Drivers Airbag, Electric Door Mirrors, Electrically Adjustable Drivers Seat, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Side Airbags, Steering Wheel Rake Adjustment, Traction Control, Trip Computer","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV12533287","LL09FKT","WHITE","DIESEL","2009","44000","Panel Van","","RENAULT","MASTER","MM33 DCI 100","2464","7495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV12533287_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_10b.jpg","0","","","0","Side and Rear Loading Doors, Towbar, Plylined, Steel Bulkhead, Dual Passenger Seats,, Central Locking, Electric Windows, Electric Mirrors, Air Conditioning, Power Steering, Drivers Airbag, Passenger Airbag, CD, Radio, PRICE DOES NOT INCLUDE VAT!!!","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV12960558","BN58XTD","Cadoxton Slate","Petrol","2009","17000","Saloon","4","LEXUS","IS","250 SR Auto","2499","11995","","Auto","http://images.autoexposure.co.uk/AETA27382/AETV12960558_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12960558_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12960558_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12960558_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12960558_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12960558_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12960558_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12960558_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12960558_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12960558_10b.jpg","0","3","","0","Insurance Group 14, ABS, Alarm, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Climate Control, Cruise Control, Drivers Airbag, Electric Door Mirrors, Front Electric Windows, Front Fog Lights, Headlight Washers, Heated Door Mirrors, Heated Front Seat, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD Multichanger, Rear Electric Windows, Remote Central Locking, Side Airbags, Steering Wheel Rake Adjustment, Steering Wheel Reach Adjustment, Traction Control, Trip Computer","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV13078216","ND55NCF","BLUE","PETROL","2006","77000","Saloon","4","PEUGEOT","407","S","1997","2495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV13078216_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13078216_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13078216_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13078216_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13078216_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13078216_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13078216_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13078216_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13078216_9b.jpg","0","2","","0","2 Registered Keepers, Central Locking, Front Electric Windows, ABS, Air Conditioning, Drivers Airbag, Passenger Airbag, Alloy Wheels","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV13664411","LE51FZF","BLACK","PETROL","2001","39500","Convertible","","PORSCHE","CARRERA","4","3400","17495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV13664411_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13664411_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13664411_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13664411_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13664411_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13664411_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13664411_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13664411_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13664411_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13664411_10b.jpg","0","5","","0","Central Locking, Front Electric Windows, Power Steering, Drivers Airbag, Side Airbags, Immobiliser, Alarm, Full Leather Interior, Alloy Wheels","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV14109665","PG55LTD","SILVER","DIESEL","2005","61000","Pick Up","4","NISSAN","NAVARA","2.5DCI DC Aventura Auto","2488","9995","","Auto","http://images.autoexposure.co.uk/AETA27382/AETV14109665_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14109665_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14109665_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14109665_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14109665_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14109665_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14109665_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14109665_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14109665_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14109665_10b.jpg","0","","","0","Full Leather Interior, Sat Nav, Snuglid, Alloys, Mudflaps, Roof Bars, Mirror Caps, Side Steps, , Air Conditioning, Cruise Control, , Central Locking, Electric Windows, Electric Mirrors, ABS, Power Steering, Drivers Airbag, Passenger Airbag, Alarm, CD Player, Radio, Phone Compatibility, Fog Lights, Sunroof, Electric Seats, Heated Front Seats, THE VEHICLE IS CURRENTLY GOING THROUGH A PLATE TRANSFER, THIS IS JUST A TEMPORARY PLATE!! PRICE OF VEHICLE DOES NOT INCLUDE VAT!!!","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV14190198","BV08ZTH","SILVER","Diesel","2008","24700","4x4","5","HYUNDAI","TUCSON","2.0 CRTD CDX","1991","9495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV14190198_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14190198_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14190198_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14190198_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14190198_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14190198_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14190198_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14190198_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14190198_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14190198_10b.jpg","0","4","","1","Insurance Group 11, ABS, Alarm, Alloy Wheels, Climate Control, Cruise Control, Drivers Airbag, Electric Door Mirrors, Electric Sunroof, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Heated Door Mirrors, Heated Front Seat, Height Adjustable Drivers Seat, Immobiliser, Leather Seats, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Roof Rails, Side Airbags, Steering Wheel Rake Adjustment, Steering Wheel Reach Adjustment, Traction Control, Trip Computer","","0","1","","UK","0","","0","0","","","",""
