"Feed_ID","Vehicle_ID","FullRegistration","Colour","FuelType","Year","Mileage","Bodytype","Doors","Make","Model","Variant","EngineSize","Price","PreviousPrice","Transmission","PictureRefs","ServiceHistory","PreviousOwners","Description","FourWheelDrive","Options","Comments","New","Used","Site","Origin","V5","Condition","ExDemo","FranchiseApproved","TradePrice","TradePriceExtra","ServiceHistoryText","Cap_ID"
"AETA27382","AETV10044275","KB54LHZ","BLUE","Petrol","2004","62000","MPV","5","DAEWOO","TACUMA","1.6 SX","1598","2695","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV10044275_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_10b.jpg","0","2","","0","2 Registered Keepers, Anti Lock Brakes, Driver Airbag, Passenger Airbag, Air Conditioning, Remote Central Locking, Power Assisted Steering (PAS), This will have 12mth Service + MOT prior to collection.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV11219288","BF15LNO","WHITE","DIESEL","2015","20","Car Derived Van","","NISSAN","NV200","1.5DCI Acenta","1461","10750","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV11219288_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11219288_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11219288_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11219288_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11219288_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11219288_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11219288_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11219288_8b.jpg","0","","","0","N/S & O/S Sliding Doors, Rear Loading Door, Rear View Camera, Bulkhead, Electric Windows, CD, Radio, Bluetooth, Power Steering, Central Locking, Immobiliser, Ideal For Many Business Types, Drive Away Today, This will have 3 Years Nissan Warranty, The Final Price Of The Vehicle Will Be Plus Vat.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV12511667","BF62OEL","Blade Silver","Diesel","2012","60000","Hatchback","5","NISSAN","JUKE","1.5 dCi Tekna","1461","10750","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV12511667_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_10b.jpg","0","","","0","ABS, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Climate Control, Cruise Control, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Heated Door Mirrors, Heated Front Seat, Height Adjustable Drivers Seat, Immobiliser, Leather Seats, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Reverse Parking Aid, Satellite Navigation, Service Indicator, Side Airbags, Sports Seats, Steering Wheel Rake Adjustment, Traction Control, Trip Computer, Top Spec, Full Of Technology, Supplied & Serviced By PG From New, This will have 12mth Service + MOT prior to collection, 12mth Complimentary RAC Cover.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV12727887","KB04BYV","SILVER","Petrol","2004","57000","Hatchback","5","VAUXHALL","CORSA","1.0i 12V Energy","998","2495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV12727887_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_10b.jpg","0","5","","0","Anti Lock Brakes, Driver Airbag, Air Conditioning, Remote Central Locking, Alloy Wheels, Power Assisted Steering (PAS), Front Electric Windows, CD Radio, Privacy Glass, Height Adjustable Drivers Seat, Split Rear Seats, Leather Steering Wheel, Pollen Filter","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV12792849","BK60KEJ","Onyx black","Petrol","2010","42000","Cabriolet","2","PEUGEOT","207","1.6 VTi GT","1598","6995","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV12792849_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12792849_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12792849_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12792849_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12792849_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12792849_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12792849_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12792849_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12792849_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12792849_10b.jpg","0","","","0","Insurance Group 9, ABS, Alarm, Alloy Wheels, Audio Remote Control, Climate Control, Cruise Control, Drivers Airbag, Electric Door Mirrors, Front Electric Windows, Front Fog Lights, Heated Door Mirrors, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Reverse Parking Aid, Service Indicator, Side Airbags, Sports Seats, Steering Wheel Rake Adjustment, Steering Wheel Reach Adjustment, Traction Control, Trip Computer, Comes with 12mth Service + MOT.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV13000204","BF62OAV","Blade Silver","Diesel","2012","35000","MPV","5","NISSAN","NOTE","1.5 [90] dCi N-Tec+ -","1461","8750","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV13000204_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13000204_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13000204_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13000204_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13000204_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13000204_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13000204_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13000204_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13000204_9b.jpg","0","","","0","REDUCED, Cloth Upholstery, Anti Lock Brakes, Curtain Airbags, Driver Airbag, ISOFIX, Passenger Airbag, Electronic Brakeforce Distribution (EBD), Electronic Stability Programme (ESP), Climate Control, Keyless Central Locking, Alloy Wheels, Power Assisted Steering (PAS), Front & Rear Electric Windows, Cruise Control, Satellite Navigation, Bluetooth Preparation (Other), Rain Sensitive Wipers, CD Radio, Electric & Heated Door Mirrors, Privacy Glass, Front Fog Lights, Auto On Headlights, USB and AUX, Height Adjustable Drivers Seat, Steering Column - Adjustable, Fuel Computer, Split Rear Seats, Leather Steering Wheel, Solid Paint, Front Armrest, This will have 12mth Service + MOT prior to collection, 12mth Complimentary RAC Cover, Remainder Of Nissan Warranty until 27.09.2015.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV13459664","BV63JWX","Arctic White","Diesel","2013","8000","Hatchback","5","NISSAN","JUKE","1.5 dCi Visia [Start Stop]","1461","11995","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV13459664_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13459664_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13459664_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13459664_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13459664_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13459664_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13459664_7b.jpg","0","","","0","Cloth Upholstery, Anti Lock Brakes, Driver Airbag, ISOFIX, Passenger Airbag, Electronic Brakeforce Distribution (EBD), Electronic Stability Programme (ESP), Air Conditioning, Remote Central Locking, Alloy Wheels, Power Assisted Steering (PAS), Front & Rear Electric Windows, CD Radio, Electric Door Mirrors, USB and AUX, Height Adjustable Drivers Seat, Steering Column - Adjustable, Fuel Computer, Split Rear Seats, 12v Socket, Cupholders, Solid Paint, This will have 12mth Service prior to collection, 12mth Complimentary RAC Cover, Remainder Of Nissan Warranty until 26.09.2016.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV13630204","LM09OUH","BLUE","Petrol","2009","21000","Hatchback","5","FORD","FIESTA","1.4 Style + Auto","1388","6495","","Auto","http://images.autoexposure.co.uk/AETA27382/AETV13630204_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13630204_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13630204_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13630204_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13630204_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13630204_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13630204_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13630204_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13630204_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13630204_10b.jpg","0","2","","0","Insurance Group 4, 2 Registered Keepers, ABS, Air Conditioning, Audio Remote Control, Body Coloured Bumpers, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Heated Door Mirrors, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Remote Central Locking, Steering Wheel Rake Adjustment, Steering Wheel Reach Adjustment, This will have 12 months service and MOT on collection.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV13783835","BT64EWA","RED","Electric","2014","10","Hatchback","5","NISSAN","LEAF","Acenta Auto","1","15995","","Auto","http://images.autoexposure.co.uk/AETA27382/AETV13783835_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13783835_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13783835_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13783835_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13783835_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13783835_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13783835_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13783835_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13783835_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13783835_10b.jpg","0","","","0","100% Electric,  Cloth Upholstery, Anti Lock Brakes, Curtain Airbags, Driver Airbag, ISOFIX, Passenger Airbag, Electronic Brakeforce Distribution (EBD), Electronic Stability Programme (ESP), Keyless Central Locking, Alloy Wheels, Power Assisted Steering (PAS), Alarm, Front & Rear Electric Windows, Cruise Control, Satellite Navigation, Bluetooth Preparation (Phone), Rain Sensitive Wipers, CD Radio, Privacy Glass, Front Fog Lights, Auto On Headlights, USB and AUX, Height Adjustable Drivers Seat, Steering Column - Adjustable, Split Rear Seats, Pollen Filter, Solid Paint, Front Armrest, Drive Away Today, 4yr PCP Finance Available, £5000 Deposit, 48 x £180.09, Optional Final Payment £5183.75, Total Amount Payable £18828.07,  8.9& APR, Remainder Of 3 Years Nissan Warranty, Remainder Of 3 Years Complimentary Nissan Assist, £0.00 Road Tax.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV14347073","BF62OBW","Haptic blue","Petrol","2012","16000","Hatchback","5","NISSAN","JUKE","1.6 Acenta [Sport Pack]","1598","10995","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV14347073_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14347073_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14347073_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14347073_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14347073_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14347073_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14347073_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14347073_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14347073_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14347073_10b.jpg","0","","","0","ABS, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Climate Control, Cruise Control, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Service Indicator, Side Airbags, Sports Seats, Steering Wheel Rake Adjustment, Traction Control, Trip Computer, Supplied New By PG, FSH, Comes With 12mth Service + MOT, 12mth RAC Cover.","","0","1","","UK","0","","0","0","","","",""
