"Feed_ID","Vehicle_ID","FullRegistration","Colour","FuelType","Year","Mileage","Bodytype","Doors","Make","Model","Variant","EngineSize","Price","PreviousPrice","Transmission","PictureRefs","ServiceHistory","PreviousOwners","Description","FourWheelDrive","Options","Comments","New","Used","Site","Origin","V5","Condition","ExDemo","FranchiseApproved","TradePrice","TradePriceExtra","ServiceHistoryText","Cap_ID"
"AETA27382","AETV10044275","KB54LHZ","BLUE","Petrol","2004","62000","MPV","5","DAEWOO","TACUMA","1.6 SX","1598","400","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV10044275_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_10b.jpg","0","2","","0","2 Registered Keepers, This Is Being sold As Disposal Vehicle, MOT Can Be Carried Out Prior To Purchase, Anti Lock Brakes, Driver Airbag, Passenger Airbag, Air Conditioning, Remote Central Locking, Power Assisted Steering (PAS).","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV10049938","DY53LTX","Aruba blue","Petrol","2003","51000","Hatchback","5","NISSAN","MICRA","1.0 E","998","2495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV10049938_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10049938_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10049938_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10049938_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10049938_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10049938_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10049938_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10049938_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10049938_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10049938_10b.jpg","0","1","","0","Insurance Group 2, 1 Registered Keeper, ABS, Body Coloured Bumpers, Drivers Airbag, Front Electric Windows, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Remote Central Locking, Steering Wheel Rake Adjustment, Full Service History, Comes With 12mth Service, Full MOT, 12mth Complimentary RAC Cover.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV11744229","FX15VML","WHITE","Diesel","2015","16000","4x4","4","LAND ROVER","RANGE ROVER","3.0 TDV6 Vogue Auto","2993","69995","","Auto","http://images.autoexposure.co.uk/AETA27382/AETV11744229_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11744229_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11744229_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11744229_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11744229_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11744229_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11744229_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11744229_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11744229_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11744229_10b.jpg","0","","","1","ABS, Alarm, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Climate Control, Cruise Control, Drivers Airbag, Electric Door Mirrors, Electrically Adjustable Drivers Seat, Electrically Adjustable Passenger Seat, Folding Rear Seats, Front Electric Windows, Headlight Washers, Heated Door Mirrors, Heated Front Seat, Height Adjustable Drivers Seat, Immobiliser, Leather Seats, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Reverse Parking Aid, Satellite Navigation, Service Indicator, Side Airbags, Steering Wheel Rake Adjustment, Steering Wheel Reach Adjustment, Traction Control, Trip Computer, TV, This Vehicle Comes With 12 Months Service.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV12240946","BN64BVA","WHITE","Petrol","2014","9000","MPV","5","NISSAN","NOTE","1.2 Acenta","1198","8695","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV12240946_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12240946_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12240946_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12240946_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12240946_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12240946_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12240946_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12240946_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12240946_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12240946_10b.jpg","0","","","0","ABS, Air Conditioning, Alarm, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Cruise Control, Drivers Airbag, Folding Rear Seats, Front Electric Windows, Heated Door Mirrors, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Service Indicator, Side Airbags, Steering Wheel Rake Adjustment, Traction Control, Trip Computer, Supplied By PG From New, Comes With 12mth Service, 12mth Complimentary RAC Cover, Nissan Warranty Until 29th September 2017, £20.00 RFL!!","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV12413702","BN57CHJ","BLACK","Petrol","2007","80000","Hatchback","5","HONDA","JAZZ","1.4 i-DSi SE","1339","3495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV12413702_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12413702_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12413702_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12413702_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12413702_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12413702_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12413702_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12413702_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12413702_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12413702_10b.jpg","0","3","","0","Insurance Group 3, ABS, Air Conditioning, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Central Locking, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Heated Door Mirrors, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Side Airbags, Steering Wheel Rake Adjustment, Trip Computer, This Vehicle Comes With 12 Months Service & 12 Months MOT.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV12727887","KB04BYV","SILVER","Petrol","2004","57000","Hatchback","5","VAUXHALL","CORSA","1.0i 12V Energy","998","2495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV12727887_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_10b.jpg","0","5","","0","Anti Lock Brakes, Driver Airbag, Air Conditioning, Remote Central Locking, Alloy Wheels, Power Assisted Steering (PAS), Front Electric Windows, CD Radio, Privacy Glass, Height Adjustable Drivers Seat, Split Rear Seats, Leather Steering Wheel, Pollen Filter","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV13049998","BD65DXF","Starburst silver","Petrol","2015","10","Hatchback","5","NISSAN","PULSAR","1.2 DiG-T Tekna","1197","19750","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV13049998_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13049998_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13049998_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13049998_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13049998_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13049998_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13049998_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13049998_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13049998_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13049998_10b.jpg","0","","","0","ABS, Air Conditioning, Alarm, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Cruise Control, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Heated Door Mirrors, Heated Front Seat, Height Adjustable Drivers Seat, Immobiliser, Leather Seats, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Reverse Parking Aid, Satellite Navigation, Service Indicator, Side Airbags, Sports Seats, Steering Wheel Rake Adjustment, Steering Wheel Reach Adjustment, Traction Control, Trip Computer, £0.00 RFL,  Top Spec, £1445 Off List Price, Drive Away Today, Packed With Technology, Comes With 3 Years Warranty, 3 Years Roadside Assistance.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV13146342","BN64BVK","WHITE","Petrol","2014","9000","MPV","5","NISSAN","NOTE","1.2 Acenta","1198","8695","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV13146342_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13146342_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13146342_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13146342_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13146342_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13146342_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13146342_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13146342_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13146342_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13146342_10b.jpg","0","","","0","ABS, Air Conditioning, Alarm, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Cruise Control, Drivers Airbag, Folding Rear Seats, Front Electric Windows, Heated Door Mirrors, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Service Indicator, Side Airbags, Steering Wheel Rake Adjustment, Traction Control, Trip Computer, Comes With 12mth Service, 12mth Complimentary RAC Cover, Nissan Warranty Until 29th September 2017, £20.00 RFL!!","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV13466096","BK61ZGA","Gun metal","Petrol","2011","14000","Hatchback","5","NISSAN","JUKE","1.6 Acenta","1598","9495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV13466096_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13466096_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13466096_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13466096_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13466096_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13466096_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13466096_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13466096_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13466096_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13466096_10b.jpg","0","","","0","ABS, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Climate Control, Cruise Control, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Service Indicator, Side Airbags, Sports Seats, Steering Wheel Rake Adjustment, Traction Control, Trip Computer, Supplied And Serviced By PG From New, Comes With 12mth Service, Full MOT, 12mth Complimentary RAC Cover.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV14230101","BN64BUF","WHITE","Petrol","2014","8500","MPV","5","NISSAN","NOTE","1.2 Acenta","1198","8695","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV14230101_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14230101_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14230101_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14230101_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14230101_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14230101_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14230101_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14230101_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14230101_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV14230101_10b.jpg","0","","","0","ABS, Air Conditioning, Alarm, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Cruise Control, Drivers Airbag, Folding Rear Seats, Front Electric Windows, Heated Door Mirrors, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Service Indicator, Side Airbags, Steering Wheel Rake Adjustment, Traction Control, Trip Computer, Comes With 12mth Service, 12mth Complimentary RAC Cover, Nissan Warranty Until 29th September 2017, £20.00 RFL!!","","0","1","","UK","0","","0","0","","","",""
