"Feed_ID","Vehicle_ID","FullRegistration","Colour","FuelType","Year","Mileage","Bodytype","Doors","Make","Model","Variant","EngineSize","Price","PreviousPrice","Transmission","PictureRefs","ServiceHistory","PreviousOwners","Description","FourWheelDrive","Options","Comments","New","Used","Site","Origin","V5","Condition","ExDemo","FranchiseApproved","TradePrice","TradePriceExtra","ServiceHistoryText","Cap_ID"
"AETA27382","AETV10044275","KB54LHZ","BLUE","Petrol","2004","62000","MPV","5","DAEWOO","TACUMA","1.6 SX","1598","2695","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV10044275_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10044275_10b.jpg","0","2","","0","2 Registered Keepers, Anti Lock Brakes, Driver Airbag, Passenger Airbag, Air Conditioning, Remote Central Locking, Power Assisted Steering (PAS), This will have 12mth Service + MOT prior to collection.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV10244785","BF15LPX","RED","PETROL","2015","20","Hatchback","5","NISSAN","PULSAR","1.2 Tekna Dig T","1198","19250","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV10244785_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10244785_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10244785_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10244785_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10244785_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10244785_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10244785_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10244785_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10244785_9b.jpg","0","","","0","Leather Upholstery, Anti Lock Brakes, Driver Airbag, ISOFIX, Passenger Airbag, Electronic Brakeforce Distribution (EBD), Electronic Stability Programme (ESP), Climate Control, Electric Sunroof, Keyless Central Locking, Alloy Wheels, Power Assisted Steering (PAS), Traction Control, Alarm, Front & Rear Electric Windows, Cruise Control, Satellite Navigation, Bluetooth Preparation (Phone), Heated Front Seats, Headlight Cleaning System, Rain Sensitive Wipers, CD Radio, DAB Radio, Privacy Glass, Front Fog Lights, Auto On Headlights, USB and AUX, Height Adjustable Drivers Seat, Steering Column - Adjustable, Rear View Auto Dimming Mirror, Fuel Computer, Split Rear Seats, Leather Steering Wheel, Roof Rails, Cupholders, Pollen Filter, Solid Paint, Front Armrest, Top Spec,  Beat The Waiting List, Drive Away Today, 3 Years Nissan Warranty, 3 Years RAC Cover.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV10909682","BL12OZM","WHITE","Diesel","2012","34000","4x4","5","AUDI","Q5","2.0 TDI Quattro S Line Plus S Tronic Auto","1968","26995","","Auto","http://images.autoexposure.co.uk/AETA27382/AETV10909682_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10909682_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10909682_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10909682_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10909682_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10909682_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10909682_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10909682_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10909682_9b.jpg","0","","","1","ABS, Alarm, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Climate Control, Cruise Control, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Headlight Washers, Heated Door Mirrors, Height Adjustable Drivers Seat, Immobiliser, Leather Seats, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Reverse Parking Aid, Roof Rails, Satellite Navigation, Service Indicator, Side Airbags, Sports Seats, Steering Wheel Rake Adjustment, Steering Wheel Reach Adjustment, Traction Control, Trip Computer, Excellent Condition, This will have 12mth Service + MOT prior to collection.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV11219288","BF15LNO","WHITE","DIESEL","2015","20","Van","","NISSAN","NV200","1.5DCI Acenta","1461","10750","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV11219288_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11219288_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11219288_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11219288_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11219288_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11219288_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11219288_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11219288_8b.jpg","0","","","0","N/S & O/S Sliding Doors, Rear Loading Door, Rear View Camera, Bulkhead, Electric Windows, CD, Radio, Bluetooth, Power Steering, Central Locking, Immobiliser, Ideal For Many Business Types, Drive Away Today, 3 Years Nissan Warranty, Plus Vat","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV12074250","CX07XCU","Alabaster silver","Diesel","2007","113000","Saloon","4","HONDA","ACCORD","2.2 i-CTDi EX","2204","4995","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV12074250_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12074250_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12074250_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12074250_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12074250_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12074250_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12074250_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12074250_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12074250_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12074250_10b.jpg","0","5","","0","Leather Upholstery, Anti Lock Brakes, Curtain Airbags, Driver Airbag, ISOFIX, Passenger Airbag, Electronic Stability Programme (ESP), Air Conditioning, Climate Control, Electric Sunroof, Remote Central Locking, Alloy Wheels, Power Assisted Steering (PAS), Traction Control, Alarm, Front & Rear Electric Windows, Cruise Control, Heated Front Seats, Headlight Cleaning System, Rain Sensitive Wipers, CD Autochanger, CD Radio, Electric & Heated Door Mirrors, Front Fog Lights, Auto On Headlights, Height Adjustable Drivers Seat, Lumbar Support, Steering Column - Adjustable, Rear View Auto Dimming Mirror, Fuel Computer, Split Rear Seats, Leather Steering Wheel, Pollen Filter, This will have 12mth Service + MOT prior to collection.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV12511667","BF62OEL","Blade Silver","Diesel","2012","60000","Hatchback","5","NISSAN","JUKE","1.5 dCi Tekna - FSH","1461","10750","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV12511667_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12511667_10b.jpg","0","","","0","ABS, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Climate Control, Cruise Control, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Heated Door Mirrors, Heated Front Seat, Height Adjustable Drivers Seat, Immobiliser, Leather Seats, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Reverse Parking Aid, Satellite Navigation, Service Indicator, Side Airbags, Sports Seats, Steering Wheel Rake Adjustment, Traction Control, Trip Computer, Top Spec, Full Of Technology, Supplied & Serviced By PG From New, This will have 12mth Service + MOT prior to collection, 12mth Complimentary RAC Cover.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV12727887","KB04BYV","SILVER","Petrol","2004","57000","Hatchback","5","VAUXHALL","CORSA","1.0i 12V Energy","998","2495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV12727887_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12727887_10b.jpg","0","5","","0","Anti Lock Brakes, Driver Airbag, Air Conditioning, Remote Central Locking, Alloy Wheels, Power Assisted Steering (PAS), Front Electric Windows, CD Radio, Privacy Glass, Height Adjustable Drivers Seat, Split Rear Seats, Leather Steering Wheel, Pollen Filter","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV13000204","BF62OAV","Blade Silver","Diesel","2012","35000","MPV","5","NISSAN","NOTE","1.5 [90] dCi N-Tec+ - REDUCED","1461","8750","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV13000204_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13000204_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13000204_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13000204_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13000204_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13000204_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13000204_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13000204_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13000204_9b.jpg","0","","","0","Cloth Upholstery, Anti Lock Brakes, Curtain Airbags, Driver Airbag, ISOFIX, Passenger Airbag, Electronic Brakeforce Distribution (EBD), Electronic Stability Programme (ESP), Climate Control, Keyless Central Locking, Alloy Wheels, Power Assisted Steering (PAS), Front & Rear Electric Windows, Cruise Control, Satellite Navigation, Bluetooth Preparation (Other), Rain Sensitive Wipers, CD Radio, Electric & Heated Door Mirrors, Privacy Glass, Front Fog Lights, Auto On Headlights, USB and AUX, Height Adjustable Drivers Seat, Steering Column - Adjustable, Fuel Computer, Split Rear Seats, Leather Steering Wheel, Solid Paint, Front Armrest, This will have 12mth Service + MOT prior to collection, 12mth Complimentary RAC Cover, Remainder Of Nissan Warranty until 27.09.2015.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV13073043","BV60USL","Blade Silver","Petrol","2010","31000","Hatchback","5","NISSAN","JUKE","1.6 Acenta [Premium Pack]","1598","8995","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV13073043_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13073043_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13073043_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13073043_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13073043_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13073043_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13073043_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13073043_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13073043_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13073043_10b.jpg","0","","","0","ABS, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Climate Control, Cruise Control, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Satellite Navigation, Service Indicator, Side Airbags, Sports Seats, Steering Wheel Rake Adjustment, Traction Control, Trip Computer, Supplied & Serviced By PG From New, This will have 12mth Service + MOT prior to collection, 12mth Complimentary RAC Cover.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV13459664","BV63JWX","Arctic White","Diesel","2013","8000","Hatchback","5","NISSAN","JUKE","1.5 dCi Visia [Start Stop]","1461","11995","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV13459664_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13459664_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13459664_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13459664_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13459664_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13459664_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13459664_7b.jpg","0","","","0","Cloth Upholstery, Anti Lock Brakes, Driver Airbag, ISOFIX, Passenger Airbag, Electronic Brakeforce Distribution (EBD), Electronic Stability Programme (ESP), Air Conditioning, Remote Central Locking, Alloy Wheels, Power Assisted Steering (PAS), Front & Rear Electric Windows, CD Radio, Electric Door Mirrors, USB and AUX, Height Adjustable Drivers Seat, Steering Column - Adjustable, Fuel Computer, Split Rear Seats, 12v Socket, Cupholders, Solid Paint, This will have 12mth Service prior to collection, 12mth Complimentary RAC Cover, Remainder Of Nissan Warranty until 26.09.2016.","","0","1","","UK","0","","0","0","","","",""
