"Feed_ID","Vehicle_ID","FullRegistration","Colour","FuelType","Year","Mileage","Bodytype","Doors","Make","Model","Variant","EngineSize","Price","PreviousPrice","Transmission","PictureRefs","ServiceHistory","PreviousOwners","Description","FourWheelDrive","Options","Comments","New","Used","Site","Origin","V5","Condition","ExDemo","FranchiseApproved","TradePrice","TradePriceExtra","ServiceHistoryText","Cap_ID"
"AETA27382","AETV10801403","BJ51NUW","BLUE","Petrol","2001","101000","MPV","5","NISSAN","ALMERA TINO","1.8 SE","1769","2495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV10801403_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10801403_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10801403_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10801403_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10801403_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10801403_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10801403_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10801403_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV10801403_9b.jpg","0","5","","0","Insurance Group 6, ABS, Air Conditioning, Audio Remote Control, Body Coloured Bumpers, Central Locking, Drivers Airbag, Electric Door Mirrors, Electric Sunroof, Folding Rear Seats, Front Electric Windows, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/Cassette, Remote Central Locking, Side Airbags, Steering Wheel Rake Adjustment. THIS HAS 12MTHS PG MOT FROM 29/05/2013!!","","0","1","","UK","0","","0","0","","","","19217"
"AETA27382","AETV11405240","SG55YZK","RED","Petrol","2005","64000","Hatchback","5","VAUXHALL","CORSA","1.0i 12V Life","998","2995","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV11405240_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11405240_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11405240_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11405240_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11405240_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11405240_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11405240_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11405240_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11405240_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11405240_10b.jpg","0","4","","0","Insurance Group 1, ABS, Body Coloured Bumpers, Drivers Airbag, Folding Rear Seats, Front Electric Windows, Immobiliser, Power Steering, Radio/CD, Remote Central Locking, Service Indicator. This will come with 12mths PG Service and MOT prior to collection.","","0","1","","UK","0","","0","0","","","","26066"
"AETA27382","AETV11438720","BT08SRU","WHITE","DIESEL","2008","39000","Panel Van","4","NISSAN","INTERSTAR","100 SE MWB","2464","6995","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV11438720_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11438720_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11438720_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11438720_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11438720_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11438720_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11438720_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11438720_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11438720_9b.jpg","0","2","","0","2 Registered Keepers, Fully Plylined, Steel Bulkhead, Dual Passenger Seats, Side & Rear Loading Doors, , Central Locking, Electric Windows, Electric Mirrors, Power Steering, Drivers Airbag, Passenger Airbag, Alarm, PG Service History, CD, Radio, LOCAL OWNER, SUPPLIED & SERVICED BY PG FROM NEW, THIS WILL COME WITH 12MTHS PG SERVICE AND MOT PRIOR TO COLLECTION!!! PRICE DOES NOT INCLUDE VAT!!!!","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV11526110","A10TMC","SILVER","PETROL","1987","66400","Sports","","JAGUAR","XJS","3.6","3590","5495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV11526110_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV11526110_10b.jpg","0","3","","0","Central Locking, Front Electric Windows, Power Steering, Full Leather Interior, Alloy Wheels, CD Changer in Boot. RARE MANUAL CAR!! MUST BE VIEWED TO BE APPRECIATED!!!","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV12533287","LL09FKT","WHITE","DIESEL","2009","44000","Panel Van","","RENAULT","MASTER","MM33 DCI 100","2464","7495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV12533287_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12533287_10b.jpg","0","","","0","Side and Rear Loading Doors, Towbar, Plylined, Steel Bulkhead, Dual Passenger Seats,, Central Locking, Electric Windows, Electric Mirrors, Air Conditioning, Power Steering, Drivers Airbag, Passenger Airbag, CD, Radio, PRICE DOES NOT INCLUDE VAT!!! 2 OWNERS, THIS WILL HAVE 12MTHS MOT AND SERVICE CARRIED OUT PRIOR TO COLLECTION!!!","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV12645759","BV13PZC","Pearl black","Petrol","2013","3000","Hatchback","5","NISSAN","JUKE","1.6 DiG-T Nismo","1618","19495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV12645759_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12645759_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12645759_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12645759_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12645759_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12645759_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12645759_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12645759_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12645759_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12645759_10b.jpg","0","","","0","ABS, Alarm, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Climate Control, Cruise Control, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Heated Door Mirrors, Heated Front Seat, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Reverse Parking Aid, Satellite Navigation, Service Indicator, Side Airbags, Sports Seats, Steering Wheel Rake Adjustment, Traction Control, Trip Computer, BEAT THE WAITING LIST!!!","","0","1","","UK","0","","0","0","","","","59037"
"AETA27382","AETV12656317","BV60UUA","Nero black","Petrol","2010","21000","Hatchback","5","NISSAN","MICRA","1.2 N-Tec","1240","7495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV12656317_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12656317_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12656317_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12656317_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12656317_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12656317_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12656317_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12656317_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12656317_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV12656317_10b.jpg","0","2","","0","Insurance Group 3, 2 Registered Keepers, ABS, Air Conditioning, Alloy Wheels, Body Coloured Bumpers, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Heated Door Mirrors, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Remote Central Locking, Satellite Navigation, Service Indicator, Side Airbags, Sports Seats, Steering Wheel Rake Adjustment, Telephone, Trip Computer, Supplied and Serviced by PG from New, 12mths Service + MOT will be carried out prior to collection, 12mths RAC Cover F.O.C.","","0","1","","UK","0","","0","0","","","","44444"
"AETA27382","AETV13078216","ND55NCF","BLUE","PETROL","2006","77000","Saloon","4","PEUGEOT","407","S","1997","2495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV13078216_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13078216_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13078216_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13078216_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13078216_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13078216_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13078216_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13078216_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13078216_9b.jpg","0","2","","0","2 Registered Keepers, Central Locking, Front Electric Windows, ABS, Air Conditioning, Drivers Airbag, Passenger Airbag, Alloy Wheels","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV13758831","BX13EEP","RED","PETROL","2013","","Convertible","2","JAGUAR","F-TYPE","5.0 Supercharged V8 Auto","5000","82500","","Auto","http://images.autoexposure.co.uk/AETA27382/AETV13758831_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13758831_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13758831_3b.jpg","0","2","","0","2 Registered Keepers, Quickshift 8 Speed Auto Transmission, Jaguar Intelligent Key Start System, Electric Parking Break, Bi Function HID Xenon Headlamps with washers, Electronically Operated Roof, 8&quot; Colour Touch Screen Display, Satellite Navigation, Jaguar 180W Sound Systems, USB and iPod Connectivity, Rear Parking Aid with Touch Screen Visual Indicator, Single Zone Automatic Climate Control, Bluetooth,Jaguar Super Performance Braking System with Red Calipers, Sports Suspension, Active Sports Exhaust, Quad Exhaust Pipes, 20&quot; Turbine Silver Alloys, Sports Seats with Leather facings, 3 Spoke Steering Wheel with Ignis Gear Shift Paddles. Dark Hex Aluminium Console Finisher with S Graphite.","","0","1","","UK","0","","0","0","","","",""
"AETA27382","AETV13795266","FD07ZBY","GOLD","Diesel","2007","119000","Estate","5","JAGUAR","X-TYPE","2.2d Sovereign","2198","6495","","Manual","http://images.autoexposure.co.uk/AETA27382/AETV13795266_1b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13795266_2b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13795266_3b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13795266_4b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13795266_5b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13795266_6b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13795266_7b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13795266_8b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13795266_9b.jpg,http://images.autoexposure.co.uk/AETA27382/AETV13795266_10b.jpg","0","5","","0","Full Cream Interior, Sat Nav, Reversing Sensors, Alloys, Roof Rails, , Remote Central Locking, Electric Windows, Electric Mirrors, ABS, Climate Control, Power Steering, Drivers Airbag, Passenger Airbag, Cruise Control, Alarm, CD, Heated Front Seats, Electrically Operated Seats, Fog Lights, Service History, This will have 12mths PG Service & MOT carried out prior to collection.","","0","1","","UK","0","","0","0","","","","37373"
