make-id,model-id,site-id,model-name,make-name
375,375-1,UK,Other,Acura
375,375-2,UK,MDX,Acura
375,375-3,UK,NSX,Acura
375,375-4,UK,RL,Acura
375,375-5,UK,RSX,Acura
375,375-6,UK,TL,Acura
375,375-7,UK,TSX,Acura
600,600-1,UK,Other,Aixam
600,600-2,UK,400,Aixam
600,600-3,UK,500,Aixam
600,600-4,UK,700,Aixam
600,600-5,UK,Crossline,Aixam
600,600-6,UK,Crossover,Aixam
600,600-7,UK,Coupe,Aixam
900,900-1,UK,Other,Alfa Romeo
900,900-2,UK,33,Alfa Romeo
900,900-3,UK,75,Alfa Romeo
900,900-4,UK,90,Alfa Romeo
900,900-5,UK,145,Alfa Romeo
900,900-6,UK,146,Alfa Romeo
900,900-7,UK,147,Alfa Romeo
900,900-8,UK,155,Alfa Romeo
900,900-9,UK,156,Alfa Romeo
900,900-10,UK,159,Alfa Romeo
900,900-11,UK,164,Alfa Romeo
900,900-12,UK,166,Alfa Romeo
900,900-13,UK,Alfasud,Alfa Romeo
900,900-14,UK,Alfetta,Alfa Romeo
900,900-15,UK,Brera,Alfa Romeo
900,900-16,UK,Giulia,Alfa Romeo
900,900-17,UK,Giulietta,Alfa Romeo
900,900-18,UK,GT,Alfa Romeo
900,900-19,UK,GTV,Alfa Romeo
900,900-20,UK,RZ/SZ,Alfa Romeo
900,900-21,UK,Spider,Alfa Romeo
900,900-22,UK,Sprint,Alfa Romeo
900,900-23,UK,Crosswagon,Alfa Romeo
900,900-24,UK,Sportwagon,Alfa Romeo
900,900-25,UK,149,Alfa Romeo
900,900-26,UK,8C,Alfa Romeo
900,900-27,UK,Arna,Alfa Romeo
900,900-28,UK,Gold Cloverleaf,Alfa Romeo
900,900-29,UK,MiTo,Alfa Romeo
1100,1100-1,UK,Other,Alpina
1100,1100-2,UK,B10,Alpina
1100,1100-3,UK,B12,Alpina
1100,1100-4,UK,B3,Alpina
1100,1100-5,UK,B5,Alpina
1100,1100-6,UK,B6,Alpina
1100,1100-7,UK,B7,Alpina
1100,1100-8,UK,B8,Alpina
1100,1100-9,UK,D10,Alpina
1100,1100-10,UK,Roadster S,Alpina
1100,1100-11,UK,D3,Alpina
1400,1400-1,UK,Other,Other
1700,1700-1,UK,Other,Aston Martin
1700,1700-2,UK,AR1,Aston Martin
1700,1700-3,UK,DB,Aston Martin
1700,1700-4,UK,DB7,Aston Martin
1700,1700-5,UK,DB9,Aston Martin
1700,1700-6,UK,Lagonda,Aston Martin
1700,1700-7,UK,Vanquish,Aston Martin
1700,1700-8,UK,V8,Aston Martin
1700,1700-9,UK,Vantage,Aston Martin
1700,1700-10,UK,Virage,Aston Martin
1700,1700-11,UK,Volante,Aston Martin
1700,1700-12,UK,V12 Vanquish,Aston Martin
1700,1700-13,UK,V8 Vantage,Aston Martin
1700,1700-14,UK,DBS,Aston Martin
1700,1700-15,UK,Rapide,Aston Martin
1700,1700-16,UK,Cygnet,Aston Martin
1750,1750-1,UK,Other,Asia Motors
1750,1750-3,UK,Rocsta,Asia Motors
1900,1900-1,UK,Other,Audi
1900,1900-2,UK,100,Audi
1900,1900-3,UK,200,Audi
1900,1900-5,UK,80,Audi
1900,1900-6,UK,90,Audi
1900,1900-7,UK,A2,Audi
1900,1900-8,UK,A3,Audi
1900,1900-9,UK,A4,Audi
1900,1900-10,UK,A6,Audi
1900,1900-11,UK,A8,Audi
1900,1900-12,UK,Allroad,Audi
1900,1900-13,UK,Cabrio,Audi
1900,1900-14,UK,Coupe,Audi
1900,1900-15,UK,Q7,Audi
1900,1900-16,UK,Quattro,Audi
1900,1900-18,UK,S2,Audi
1900,1900-19,UK,S3,Audi
1900,1900-20,UK,S4,Audi
1900,1900-21,UK,S6,Audi
1900,1900-22,UK,S8,Audi
1900,1900-23,UK,TT,Audi
1900,1900-24,UK,V8,Audi
1900,1900-26,UK,RS2,Audi
1900,1900-27,UK,RS4,Audi
1900,1900-28,UK,RS6,Audi
1900,1900-30,UK,R8,Audi
1900,1900-31,UK,S5,Audi
1900,1900-32,UK,Q5,Audi
1900,1900-33,UK,A5,Audi
1900,1900-34,UK,A1,Audi
1900,1900-35,UK,RS5,Audi
1900,1900-36,UK,Avant,Audi
1900,1900-37,UK,Convertible,Audi
1900,1900-38,UK,A7,Audi
1900,1900-39,UK,RS3,Audi
1900,1900-40,UK,Q3,Audi
1900,1900-41,UK,S7,Audi
1900,1900-42,UK,SQ5,Audi
2000,2000-1,UK,Other,Austin
2000,2000-2,UK,Allegro,Austin
2000,2000-3,UK,Ambassador,Austin
2000,2000-4,UK,Maestro,Austin
2000,2000-5,UK,Maxi,Austin
2000,2000-6,UK,Maxi 2,Austin
2000,2000-7,UK,Metro,Austin
2000,2000-8,UK,Mini,Austin
2000,2000-9,UK,Mini Classic,Austin
2000,2000-10,UK,Montego,Austin
2000,2000-11,UK,Princess,Austin
3100,3100-1,UK,Other,Bentley
3100,3100-2,UK,Arnage,Bentley
3100,3100-3,UK,Azure,Bentley
3100,3100-4,UK,Brooklands,Bentley
3100,3100-5,UK,Continental,Bentley
3100,3100-6,UK,Eight,Bentley
3100,3100-7,UK,Mulsanne,Bentley
3100,3100-8,UK,Turbo R,Bentley
3100,3100-9,UK,Turbo RT,Bentley
3100,3100-10,UK,Turbo S,Bentley
3100,3100-11,UK,Corniche,Bentley
3100,3100-12,UK,Series II,Bentley
3500,3500-1,UK,Other,BMW
3500,3500-2,UK,116,BMW
3500,3500-3,UK,118,BMW
3500,3500-4,UK,120,BMW
